HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
0.0001,fixed_sem_shrunk,0.767967306,0.01132987,812.3101679,172.5039776,176.4448965
0.0001,fixed_sem_shrunk,0.76943487,0.012045886,658.9177812,203.8967758,207.2415846
0.0001,fixed_sem_shrunk,0.23961167,0.014783705,615.3817333,208.3522025,211.6266039
0.0001,fixed_sem_shrunk,0.258619871,0.015507249,532.2380153,225.6838203,228.7102227
0.0001,fixed_sem_shrunk,0.238559956,0.015670036,532.2632264,231.5686363,234.519109
0.0001,fixed_sem_shrunk,0.38740403,0.839665515,552.542562,208.863751,212.1302564
0.01,fixed_sem_shrunk,0.17628697,0.006063678,3641.750572,2033.91072,2070.383953
0.01,fixed_sem_shrunk,0.16793803,0.008759574,4508.607676,1801.665903,1842.741686
0.01,fixed_sem_shrunk,0.155966081,0.010389161,4211.760078,1872.525902,1912.080058
0.01,fixed_sem_shrunk,0.169286798,0.010719241,4803.865156,1626.808359,1672.184898
0.01,fixed_sem_shrunk,0.132121844,0.011041667,3224.376153,2052.246689,2088.399715
0.01,fixed_sem_shrunk,0.121640845,0.014421265,2792.325684,2151.592666,2186.103359
0.01,fixed_sem_shrunk,0.104108145,0.017322649,2334.220182,2255.322936,2288.269748
0.01,fixed_sem_shrunk,0.939008473,0.023621212,7155.468871,585.9614743,702.1735865
0.01,fixed_sem_shrunk,0.462242756,0.024010175,7493.414089,839.8772564,924.7111452
0.01,fixed_sem_shrunk,0.426984209,0.025359056,6976.064571,1056.699418,1125.304651
0.01,fixed_sem_shrunk,0.486579983,0.025651084,7954.583038,713.7550592,811.8763334
0.01,fixed_sem_shrunk,0.509910767,0.025948239,8093.985839,560.8894811,681.3911551
0.01,fixed_sem_shrunk,0.942121279,0.026304645,7312.303956,512.3538383,642.0306471
0.01,fixed_sem_shrunk,0.46520723,0.026558787,7713.478546,852.0723471,935.8013576
0.01,fixed_sem_shrunk,0.500836502,0.027751071,8196.56385,597.6406094,711.9488706
0.01,fixed_sem_shrunk,0.519190775,0.027862775,8239.908318,453.4256866,596.0635448
0.01,fixed_sem_shrunk,0.439403225,0.027878626,7228.026482,973.1394834,1047.233188
0.01,fixed_sem_shrunk,1,0.028409616,7481.759081,499.674476,631.9584465
0.01,fixed_sem_shrunk,0.481064634,0.02850441,7957.807582,725.3953722,822.1285436
0.01,fixed_sem_shrunk,0.518026434,0.029234492,8219.383156,449.3227337,592.9484086
0.01,fixed_sem_shrunk,0.501605592,0.03008738,8085.622145,561.8657254,682.1949792
0.01,fixed_sem_shrunk,0.414190182,0.030784661,6630.597888,974.3090158,1048.320063
0.01,fixed_sem_shrunk,0.272651016,0.035498494,4921.431874,1419.224179,1471.018072
0.01,fixed_sem_shrunk,0.7672445,0.03864025,7526.857116,388.732427,548.4612986
0.01,fixed_sem_shrunk,0.262249256,0.040481636,4516.038214,1622.568878,1668.060749
0.01,fixed_sem_shrunk,0.29354238,0.040646387,4851.544741,1410.136216,1462.252045
0.01,fixed_sem_shrunk,0.23261173,0.042122338,3988.143722,1773.530396,1815.242948
0.01,fixed_sem_shrunk,0.268442126,0.04886987,4182.088598,1655.378686,1699.992791
0.01,fixed_sem_shrunk,0.310028736,0.04966781,4480.420212,1547.985904,1595.605607
0.01,fixed_sem_shrunk,0.350262195,0.071380399,3792.997523,1700.95481,1744.403669
0.01,fixed_sem_shrunk,1,0.072664484,6062.62074,1027.526771,1097.956357
0.01,fixed_sem_shrunk,1,0.227904055,4947.524448,1480.448712,1530.171652
1,fixed_sem_shrunk,0.724285895,0.010234336,10255.36152,712.460125,780.9625683
1,fixed_sem_shrunk,0.807164421,0.010675524,11016.89517,552.6773033,638.5572058
1,fixed_sem_shrunk,1,0.010961797,12004.71549,202.834644,378.7413316
1,fixed_sem_shrunk,0.741382837,0.011154555,10643.9168,697.3453786,767.1985926
1,fixed_sem_shrunk,0.881919752,0.01134457,11648.73801,382.8487985,498.8750404
1,fixed_sem_shrunk,0.8205441,0.011378632,11280.11147,525.7326112,615.3843368
1,fixed_sem_shrunk,1,0.01143828,12190.60651,195.652151,374.9438193
