tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,peg20k,mgso4,model,acq,pred_mean,pred_sigma,active_count
2.0,0.001,0.001,0.16248601390198836,0.037730951418762905,0.3519273561033584,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.351328221749428,180883.06138798897,17528.417164005707,4
0.21808985728297897,0.005278339732553038,0.0,0.11863205383526845,0.02915320648962496,0.36751335328673984,0.0,0.0,0.0015830648437850311,0.0,0.0,new_additive_set,10.339639226158939,180670.97963299984,15763.32561571021,4
0.5938561746611136,0.001733751883111359,0.0,0.07748635621231068,0.05558196423347908,0.3588976739154174,0.0,0.0,0.0,0.0010528351129684894,0.0,new_additive_set,10.315287422958049,179832.5030427026,16650.60299302236,4
0.0033824086361677035,0.0010850655448408548,0.0,0.07610054936688737,0.04096403797076955,0.30624018316653434,0.0,0.0,0.0,0.0,0.006654557405534413,new_additive_set,10.288448730462616,179046.96212911146,16107.238978831885,4
2.0,0.0154337436292231,0.0,0.05643058938315265,0.02487573061763306,0.35966196277589313,0.0,0.0,0.0,0.001,0.0,new_additive_set,10.241431756632723,177706.49680086304,15498.320072896551,4
2.0,0.04416245296436363,0.0,0.12843942912086567,0.33393037000907816,0.35769304687274883,0.005756413288660823,0.0,0.0,0.0,0.0,new_additive_set,10.219832025802505,177147.234570136,14554.403566921263,4
0.5186463369415546,0.004162119661039069,0.1617328359947264,0.0,0.03920669482752399,0.35733547015715017,0.0,0.0,0.0016591302589145471,0.0,0.0,new_additive_set,10.213374601520224,176811.8914816188,15673.231800638981,4
2.0,0.001,0.2545393530007606,0.0,0.0026923973896530924,0.3087281690327922,0.0,0.03190712864613772,0.0,0.0,0.0,new_additive_set,9.895835611707867,168465.17914081737,17102.976774191386,4
0.001,0.0012310592315007915,0.0,0.0466680329550519,0.23935915217457962,0.3144081752872532,0.0,0.0,0.0,0.0,0.0014833432859565855,new_additive_set,9.848714934633136,167418.43875914149,17323.006503767916,4
0.02262730922384793,0.057703805870569044,0.7515327378434792,0.0,0.010882730725403886,0.3471845038105841,0.0,0.03630668989826953,0.0,0.0,0.0,new_additive_set,9.793622978365008,166661.8401420377,15476.587823856455,4
0.0012700886101345208,0.1133662942846643,0.6393591635676855,0.03486214620519862,0.017058257929170473,0.3319032560413674,0.0,0.0,0.0,0.0,0.0,new_additive_set,9.787503704009382,166343.75132269354,16515.113433869436,4
