tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,peg20k,peg200k,model,acq,pred_mean,pred_sigma,active_count
2.0,0.001,1.9711018751020006,0.0,0.038150338734608956,0.31978962162975677,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.559010669492144,188435.09597750177,13043.684765802116,4
2.0,0.001,0.334490287944257,0.0,0.015551565302829796,0.35389949560970285,0.006120648937392952,0.0,0.0,0.0,0.0,new_additive_set,10.553927106822632,188265.52666313312,12020.928664540117,4
0.001,0.001,2.0,0.08872445821594892,0.5712864540954549,0.3599886010899147,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.520958945205278,186851.79394625974,14769.718237825886,4
2.0,0.001,1.8919446527432273,0.0,0.039441650344345026,0.3541480446532337,0.0,0.0,0.002323347244125167,0.0,0.0,new_additive_set,10.51969590751214,186835.19509445076,13872.904652268859,4
0.0494813287586771,0.001,0.690120994764978,0.0,0.021476215926638575,0.3515720420413148,0.006043753960797902,0.0,0.0,0.0,0.0,new_additive_set,10.514858774944718,186776.39773518787,12305.284885984089,4
2.0,0.001,2.0,0.0,0.6042581146816,0.37048676530418123,0.0,0.0467300186057325,0.0,0.0,0.0,new_additive_set,10.50956061193201,186485.95681556745,13410.16023401245,4
2.0,0.001,1.2013957378830045,0.0,0.13484455676264495,0.3283352653932185,0.0,0.28636840970991306,0.0,0.0,0.0,new_additive_set,10.497800112696682,186077.48039139702,12987.430952056257,4
2.0,0.001,0.0,0.0,0.027950940250203594,0.35468897264762883,0.0,0.043647143276978856,2.0,0.0,0.0,new_additive_set,10.480799509400892,185476.30802232237,12898.345614972164,4
2.0,0.001,0.0,0.09557947853430127,0.3095886469054229,0.3684742745413242,0.0,0.0,0.00160911220682386,0.0,0.0,new_additive_set,10.4370522504743,183826.56127844023,14354.42002987501,4
2.0,0.001,1.577284478688122,0.0,0.03946369273851426,0.36838384805286495,0.0,0.0,0.0,0.0010332639453121855,0.0,new_additive_set,10.43169504467904,183596.18957216226,14097.491375353415,4
0.001,0.001,0.0,0.0778590348936386,0.02950981990482164,0.33925262912551185,0.001197602982024306,0.0,0.0,0.0,0.0,new_additive_set,10.43110051931494,183597.3886749,14608.404605919117,4
2.0,0.006652423662092529,0.0,0.09884537785579875,0.02943563995895928,0.3571504915418379,0.0,0.001,0.0,0.0,0.0,new_additive_set,10.423193758695993,183547.7524664457,11839.217919678083,4
2.0,0.001,0.0,0.07986618483333907,0.6201044487927071,0.3437299277175508,0.0,0.0,0.0,0.001,0.0,new_additive_set,10.420536895473333,183243.32475582045,14439.577937101034,4
2.0,0.001,0.0,0.07633640286135016,0.0019218769285869917,0.3594654729162166,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.394297275017077,182328.40835766908,14655.782669863656,4
2.0,0.001,0.0,0.07818817003871004,0.010042381177215383,0.34841415208924736,0.0,0.0,0.0,0.0,0.0016115481327346741,new_additive_set,10.354179863694352,181036.34859181533,14248.137914923976,4
0.001,0.001,2.0,0.0,0.03068703579783777,0.34852952220606936,0.0,0.0,2.0,0.0,0.0,new_additive_set,10.305512156408257,179415.5076524257,14480.621733075477,4
0.001,0.001,0.0,0.08160955547034573,0.001,0.3369407890891666,0.0027369921073030893,0.0,0.0,0.0,0.0,new_additive_set,10.13021556885975,174297.54534908262,15736.31258596136,4
2.0,0.0045948486705417535,0.4523479130126233,0.0,0.7069564306414265,0.3605239825959523,0.0,0.0,0.0,0.00602768994650493,0.0,new_additive_set,10.114146625846672,174269.91313828813,11598.811411835353,4
2.0,0.01400566294237306,2.0,0.0,0.012885047778683538,0.333590610273328,0.0,0.0,0.0,0.0026763939545385025,0.0,new_additive_set,9.955050557425642,170461.0679064045,12330.65409799022,4
