sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
single additive,"[10,11]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0.216072581,0,0,0,0,0,0,0,0,0,0,12.78636847,1,,1.231657386
HRP,"[12,8]",0.006614467,0.0015,0.246647716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175301998,1,,1.2315564
HRP,"[15,11]",0.00241052,0.0015,0.089886194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006020069,1,,1.231502323
HRP,"[14,16]",0.003374728,0.0015,0.016712938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.230578217
single additive,"[11,2]",0.375,0.0015,1.857142857,0,0,1.543375582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71865277,1,,1.229675734
single additive,"[9,6]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0.302501614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58820766,1,,1.229229164
single additive,"[10,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108036291,0,0,0,14.76755054,1,,1.228520561
HRP,"[3,2]",0.136661808,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.679417283,1,,1.227462526
HRP,"[14,11]",0.003374728,0.0015,0.089886194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009592082,1,,1.226865734
single additive,"[5,3]",0.375,0.0015,1.857142857,0,0,0,1.162090201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07483296,1,,1.226215385
single additive,"[9,2]",0.375,0.0015,1.857142857,0,0,3.02501614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39887923,1,,1.225325776
single additive,"[8,1]",0.375,0.0015,1.857142857,0,0.42350226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89318745,1,,1.225308117
single additive,"[8,0]",0.375,0.0015,1.857142857,2.117511298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79286813,1,,1.225122083
H2O2,"[3,8]",0.136661808,0.000411644,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024094766,1,,1.224840664
single additive,"[7,10]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0.592903164,0,0,0,0,0,0,0,0,0,0,0,12.99014799,1,,1.223398423
single additive,"[5,1]",0.375,0.0015,1.857142857,0,1.162090201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48907134,1,,1.222328915
H2O2,"[0,17]",0.375,1.99E-05,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3324842,1,,1.221720763
single additive,"[6,3]",0.375,0.0015,1.857142857,0,0,0,0.830064429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34353207,1,,1.221328325
