tmb,h2o2,cmc,bsa,imidazole,cacl2,sucrose,edta,feso4,mgso4,paa,model,acq,pred_mean,pred_sigma,active_count
2.0,0.0034398758594359575,0.0,0.07423477015641324,0.05481696538744906,0.3355226656730622,0.0,0.0,0.002040955403901687,0.0,0.0,new_additive_set,10.408504009633923,182964.4724203585,15592.230417927001,4
2.0,0.0035866473226236063,0.5640423557128147,0.001,0.03843511170020165,0.38206888594370686,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.402735093240654,182705.32590938488,15694.338867110302,4
2.0,0.0024628474591010738,2.0,0.05432605420547045,0.002313223121969871,0.322184536424228,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.36864017906745,181563.15318979087,15933.044962394293,4
0.08609247499429122,0.010997177008111264,1.2617698019281245,0.0,0.05550125098337154,0.3115566224214269,0.0,0.06048143245985686,0.0,0.0,0.0,new_additive_set,10.367742095885545,181651.61633118562,13910.353478161023,4
1.9138434092680852,0.01484963871170756,1.1084394587625914,0.0,0.033618288367005096,0.34180876900335383,0.0,0.0,0.008262694087413225,0.0,0.0,new_additive_set,10.329306913822695,180421.75705455398,13790.736469444442,4
2.0,0.008118429518824978,0.28670413320011845,1.1993749749157716,0.4066420297708954,0.32521426801240466,0.0,0.0,0.0,0.0,0.0,new_additive_set,10.309520617632959,179795.46794149384,14340.561773786583,4
2.0,0.00873409380349516,2.0,0.0,0.10218181755888775,0.37311213553636013,0.0,0.0,0.001412691927333163,0.0,0.0,new_additive_set,10.188498016009143,176061.87404094014,16087.741589452162,4
0.2250659879870832,0.010532050430844654,1.4093226334225704,0.0,0.037072880774779646,0.3462185229154323,0.0,0.0,0.0,0.0,0.001,new_additive_set,10.183566501761744,176002.96239748856,15446.583244460451,4
0.003960022760508714,0.0055345393230049915,0.0,0.08670777153835071,0.0037154233717164864,0.34026540865002003,0.001,0.0,0.0,0.0,0.0,new_additive_set,10.006320359292596,171105.5300645585,16830.747377081312,4
0.044010471879364126,0.0018553438161866929,0.0,0.0,0.03167944698565663,0.33974912380115385,0.0,0.04735674396205674,0.0014867371799480512,0.0,0.0,new_additive_set,9.95150898869085,169661.04353136796,17350.250892917735,4
